names,location,candidate_page,electoral_position,electoral_branch,electoral_level,area,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,campaign_website_url,camp_hand,off_hand,per_hand,party,error-type_link-name,error-type_color-contrast,error-type_label,error-type_region,error-type_heading-order,error-type_landmark-one-main,error-type_skip-link,error-type_aria-allowed-role,error-type_page-has-heading-one,error-type_duplicate-id-active,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_duplicate-id,error-type_image-alt,error-type_label-title-only,error-type_meta-viewport,error-type_radiogroup,error-type_html-has-lang,error-type_empty-heading,error-type_landmark-no-duplicate-banner,error-type_definition-list,error-type_document-title,error-type_checkboxgroup,error-type_tabindex,error-type_duplicate-id-aria,error-type_frame-title,error-type_aria-required-children,error-type_aria-valid-attr-value,error-type_autocomplete-valid,error-type_button-name,error-type_aria-roles,error-type_bypass,error-type_listitem,error-type_frame-title-unique,error-type_landmark-no-duplicate-contentinfo,error-type_list,error-type_aria-valid-attr,error-type_meta-viewport-large,error-type_landmark-contentinfo-is-top-level,error-type_landmark-banner-is-top-level,error-type_image-redundant-alt,error-type_aria-required-attr,error-type_area-alt,error-type_input-image-alt,error-type_aria-allowed-attr,error-type_marquee,error-type_landmark-main-is-top-level,error-type_meta-refresh,error-type_dlitem,error-type_object-alt,error-type_table-duplicate-name,error-type_aria-required-parent,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers
Karen Peters,"Maricopa County, Arizona",https://ballotpedia.org/Karen_Peters_(Arizona),Central AZ Water Conservation District,Executive,Special District,,Lost,"4,388,430","321,266",0.073,https://www.karenpeters.info,,,peterskaren,Nonpartisan,1,2,,2,,2,,,1,,2,11,1,5,5,0,33,24,131.04,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,187,155,24,1,6,0,1,0,0
Alan Dulaney,"Maricopa County, Arizona",https://ballotpedia.org/Alan_Dulaney,Central AZ Water Conservation District,Executive,Special District,,Lost,"4,388,430","291,593",0.066,https://www.alandulaneyforcawcd.com/,,,h2o_alan,Nonpartisan,,5,,,,,,,5,,5,10,0,5,5,0,18680,3012,-19.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,173,24,1,16,0,0,0,49
Cory Mishkin,"Maricopa County, Arizona",https://ballotpedia.org/Cory_Mishkin,Central AZ Water Conservation District,Executive,Special District,,Lost,"4,388,430","162,381",0.037,https://coryforcap.com/,corymishkin,,,Nonpartisan,8,112,2,15,,15,,30,6,,30,221,3,122,36,60,2391,566,54.649,30,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,221,179,28,1,3,0,0,0,10
Daniel Cirignani Wood,"Maricopa County, Arizona",https://ballotpedia.org/Daniel_Cirignani_Wood,Central AZ Water Conservation District,Executive,Special District,,Lost,"4,388,430","148,897",0.034,https://www.895iszero.com/,,,,Nonpartisan,20,48,1,,,,,,2,,14,71,1,68,2,0,9970,2052,32.31428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,193,28,1,7,0,0,0,47
Kelli Butler,"Maricopa County, Arizona",https://ballotpedia.org/Kelli_Butler,Maricopa County Community College District,Legislative,County,At-large,Won,"1,008,112","651,517",0.646,https://www.kellibutleraz.org/,,,,Nonpartisan,,,4,,2,,,6,3,,6,21,4,6,5,6,1734,603,58.98666667,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Randy Kaufman,"Maricopa County, Arizona",https://ballotpedia.org/Randy_Kaufman,Maricopa County Community College District,Legislative,County,At-large,Lost,"1,008,112","356,595",0.354,https://www.voterandykaufman.com/,,,,Nonpartisan,1,2,,1,,1,,,,,1,8,2,4,2,0,60,41,73.68,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,193,28,1,3,0,0,0,0
Laura Metcalfe,"Maricopa County, Arizona",https://ballotpedia.org/Laura_Metcalfe,East Valley Institute of Technology District,Executive,Special District,District 5,Won,"41,624","24,240",0.582,https://www.laura4evitboard.com/,,,,Nonpartisan,27,59,2,,8,,,1,1,,7,106,9,86,9,2,962,214,51.09571429,,,,,,,1,,,,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Craig Wismer,"Maricopa County, Arizona",https://ballotpedia.org/Craig_Wismer,Judicial offices,Judicial,County,,Won,"55,467","55,467",1,https://craigwismer.com,,,,Republican Party,4,,,,2,,,4,1,,4,15,0,8,3,4,407,168,61.1425,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,204,28,1,6,0,0,0,21
Fred Arnett,"Maricopa County, Arizona",https://ballotpedia.org/Fred_Arnett,Judicial offices,Judicial,County,,Won,"34,705","34,705",1,https://fredarnett4jp.com/,,,,Republican Party,5,,,3,,3,2,,2,,3,21,2,9,10,0,1971,546,43.69666667,,2,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,239,205,28,1,2,0,0,0,3
Sharron Sauls,"Maricopa County, Arizona",https://ballotpedia.org/Sharron_Sauls,Judicial offices,Judicial,County,,Won,"33,574","33,574",1,https://saulsforjustice.com,,,,Democratic Party,,12,9,8,,8,,1,5,,8,69,10,34,21,4,2025,519,36.785,3,,,,,,,,,,,8,1,,,,,,,,14,,,,,,,,,,,,,,,,,,,,262,212,30,1,5,0,0,0,14
Michele Reagan,"Maricopa County, Arizona",https://ballotpedia.org/Michele_Reagan,Judicial offices,Judicial,County,,Won,"75,961","75,961",1,https://votereagan.com,,,,Republican Party,4,,1,4,8,,,122,,,4,171,16,4,12,139,742,334,52.7325,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,217,30,1,3,0,0,0,0
Rebecca Rios,"Maricopa County, Arizona",https://ballotpedia.org/Rebecca_Rios,Judicial offices,Judicial,County,,Won,"26,253","26,253",1,https://www.riosforarizona.com,Rios_Rebecca,,,Democratic Party,,,,,1,,,,3,,3,5,0,0,4,1,303,165,28.87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,226,30,1,5,0,0,0,30
Tyler Kissell,"Maricopa County, Arizona",https://ballotpedia.org/Tyler_Kissell,Judicial offices,Judicial,County,,Won,"15,735","15,735",1,https://kissellforjustice.com,,,,Democratic Party,1,2,,1,4,1,,,,,1,11,2,3,6,0,37,31,51.86,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,227,30,1,3,0,0,0,6
Teresa Lopez,"Maricopa County, Arizona",https://ballotpedia.org/Teresa_Lopez,Judicial offices,Judicial,County,,Won,"8,352","8,352",1,https://www.electteresalopez.com/,,,,Democratic Party,20,17,,1,,,,,5,,5,56,10,37,6,3,822,320,51.92,3,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,312,241,30,1,5,0,0,0,35
Theresa Riel,"Pima County, Arizona",https://ballotpedia.org/Theresa_Riel,Community College Board,Legislative,County,District 2,Won,"39,870","24,411",0.612,https://www.triel4pccboard.org,,,,Nonpartisan,1,1,,,1,,,1,,1,1,6,0,4,1,1,232,133,43.43,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,254,30,1,4,0,0,0,8
Victoria Steele,"Pima County, Arizona",https://ballotpedia.org/Victoria_Steele,Judicial offices,Judicial,County,,Won,"38,492","37,424",0.972,https://victoriasteeleforjustice.com/,VSteele4Justice,,,Democratic Party,7,16,16,7,1,7,,,3,,7,122,23,27,18,54,1290,425,54.17285714,49,,3,7,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,287,256,30,1,0,0,0,0,0
Kristel Ann Foster,"Pima County, Arizona",https://ballotpedia.org/Kristel_Ann_Foster,Judicial offices,Judicial,County,,Won,"30,847","29,593",0.959,https://www.fosterjusticepeace.com/,KAFJusticePeace,,,Democratic Party,1,2,,1,,1,,,,,1,8,2,4,2,0,60,41,73.68,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,256,30,1,3,0,0,0,0
Pamela Price,"Alameda County, California",https://ballotpedia.org/Pamela_Price_(California),District Attorney,Executive,County,,Won,"430,397","228,721",0.531,https://www.pamelaprice4da.com/,PPriceCares,,,Nonpartisan,231,1534,258,84,7,6,,93,91,6,99,2429,276,1778,188,187,28950,2793,37.11121212,93,12,,,1,,1,,,,,,5,,,,,,,,,7,,,,,,,,,,,,,,,,,,,316,261,30,1,8,0,0,0,16
Terry Wiley,"Alameda County, California",https://ballotpedia.org/Terry_Wiley,District Attorney,Executive,County,,Lost,"430,397","201,676",0.469,https://terrywileyforda.com/,WileyforDA,,,Nonpartisan,5,1,18,5,1,1,,24,5,1,5,90,6,25,12,47,2800,952,5.072,23,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,267,34,1,17,0,0,0,20
Lena Tam,"Alameda County, California",https://ballotpedia.org/Lena_Tam,Board of Supervisors,Legislative,County,District 3,Won,"77,210","40,232",0.521,https://lenatam.com,,,,Nonpartisan,1,1,,1,1,1,,,,,1,8,2,2,3,1,822,528,24.41,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,278,39,3,9,0,0,0,20
Rebecca Kaplan,"Alameda County, California",https://ballotpedia.org/Rebecca_Kaplan,Board of Supervisors,Legislative,County,District 3,Lost,"77,210","36,978",0.479,https://www.supervisorkaplan.org/,Kaplan4Oakland,,,Nonpartisan,80,9,,,41,,,48,2,21,42,250,0,155,43,52,11111,2388,24.77075,,,,,,,4,,,,,42,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,359,296,41,3,6,0,0,0,13
Sarah Palmer,"Alameda County, California",https://ballotpedia.org/Sarah_Palmer,Special districts,Executive,Special District,,Won,"40,016","8,904",0.223,http://www.palmerforzone7.com/,,,,Nonpartisan,2,20,,8,2,8,,,6,,8,58,0,34,24,0,2276,790,37.25125,,,,,,8,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,342,298,41,3,0,0,0,0,0
Olivia Sanwong,"Alameda County, California",https://ballotpedia.org/Olivia_Sanwong,Special districts,Executive,Special District,,Won,"40,016","8,834",0.221,http://www.oliviasanwong.com/,,,,Nonpartisan,,12,8,3,,3,,,2,,3,30,8,14,8,0,187,94,49.71333333,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,358,299,41,3,7,0,0,0,8
Joel Young,"Alameda County, California",https://ballotpedia.org/Joel_Young,Special districts,Executive,Special District,,Won,"313,050","175,097",0.559,http://joelyoung.org/,,,,Nonpartisan,,2,,,2,,,22,,,1,36,5,2,2,27,422,232,35.85,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,301,41,3,3,0,0,0,0
Alfred Twu,"Alameda County, California",https://ballotpedia.org/Alfred_Twu,Special districts,Executive,Special District,,Lost,"313,050","137,953",0.441,https://www.alfredtwu.org,alfredtwu_act,,,Nonpartisan,56,,,2,2,,,168,,,2,454,222,56,8,168,5742,1150,-27.13,,222,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,354,304,41,3,0,0,0,0,6
Sarah Syed,"Alameda County, California",https://ballotpedia.org/Sarah_Syed,Special districts,Executive,Special District,,Won,"72,162","50,457",0.699,http://www.sarahfortransit.com/,,,,Nonpartisan,,11,1,9,,9,,3,,,9,46,13,12,18,3,2312,671,45.61777778,,2,,9,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,348,304,41,3,0,0,0,0,0
Stewart Chen,"Alameda County, California",https://ballotpedia.org/Stewart_Chen,Special districts,Executive,Special District,,Lost,"72,162","21,705",0.301,http://stewartchen.org/,,,,Nonpartisan,60,,,,4,,,,9,,9,105,0,92,13,0,2440,811,19.71444444,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,308,45,3,3,0,0,0,12
Murphy McCalley,"Alameda County, California",https://ballotpedia.org/Murphy_McCalley,Special districts,Executive,Special District,,Won,"57,453","36,630",0.638,http://www.votemccalley2022.com/,,,,Nonpartisan,,,,1,1,,,29,,,1,41,3,0,2,36,719,280,20.08,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,311,45,3,4,0,0,0,0
Barisha Spriggs,"Alameda County, California",https://ballotpedia.org/Barisha_Spriggs,Special districts,Executive,Special District,,Lost,"57,453","20,823",0.362,https://www.spriggs4actransit.com/,BarishaS,,,Nonpartisan,16,2,,2,,,,72,2,,2,182,86,18,6,72,1284,352,-0.03,,86,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,314,45,3,0,0,0,0,0
Liz Ames,"Alameda County, California",https://ballotpedia.org/Liz_Ames,Special districts,Executive,Special District,,Won,"83,117","39,615",0.477,https://www.ames4change.com,,,,Nonpartisan,38,1,4,9,,9,,,,,9,124,53,53,18,0,2892,838,40.85888889,,49,,,,9,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,362,314,45,3,0,0,0,0,0
Lance Nishihira,"Alameda County, California",https://ballotpedia.org/Lance_Nishihira,Special districts,Executive,Special District,,Lost,"83,117","26,909",0.324,https://lance4bart.org,lance4bart,,,Nonpartisan,,,,,1,,,3,2,,3,6,0,0,3,3,937,483,-34.60666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401,332,54,4,5,0,0,0,6
Marguerite Young,"Alameda County, California",https://ballotpedia.org/Marguerite_Young,Special districts,Executive,Special District,,Won,"19,818","16,490",0.832,https://www.young4ebmud.org/,young4ebmud,,,Nonpartisan,,1,,1,,1,,,1,,1,5,0,2,3,0,0,0,206.84,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,332,54,4,1,0,0,0,0
April Chan,"Alameda County, California",https://ballotpedia.org/April_Chan,Special districts,Executive,Special District,,Won,"41,694","14,424",0.346,http://vote4aprilchan.com/,,,,Nonpartisan,,,,1,,1,,,,,1,3,0,1,2,0,9,9,53.88,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,332,54,4,0,0,0,0,0
Corina Lopez,"Alameda County, California",https://ballotpedia.org/Corina_Lopez,Special districts,Executive,Special District,,Lost,"41,694","14,283",0.343,http://www.corinalopez.com/,,,,Nonpartisan,56,147,23,22,,22,,22,22,,26,402,89,225,66,22,10909,976,28.20730769,,56,,4,1,22,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,420,337,54,4,8,0,0,0,17
Louis Quindlen,"Alameda County, California",https://ballotpedia.org/Louis_Quindlen,Special districts,Executive,Special District,,Won,"14,297","11,547",0.808,http://quindlen4peralta.org,,,,Nonpartisan,,13,22,7,3,7,,,3,,7,99,38,13,20,28,1584,532,62.06857143,28,,,7,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,405,339,54,4,0,0,0,0,8
Cindi Reiss,"Alameda County, California",https://ballotpedia.org/Cindi_Reiss,Special districts,Executive,Special District,,Won,"32,815","19,595",0.597,https://www.cindireiss2022.com/,,,,Nonpartisan,,12,,1,,,,9,9,,9,43,0,12,19,12,2974,934,7.806666667,,,,,,,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,347,54,4,3,0,0,0,8
Saleem Gilmore,"Alameda County, California",https://ballotpedia.org/Saleem_Gilmore,Special districts,Executive,Special District,,Lost,"32,815","13,220",0.403,https://www.saleemforperalta.com/,saleemgilmore,,,Nonpartisan,10,124,1,1,9,1,1,13,,,16,181,21,135,12,13,3972,888,52.445,,2,,7,3,,,,,1,,,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,429,355,54,4,10,0,0,0,6
Seth Steward,"Alameda County, California",https://ballotpedia.org/Seth_Steward,Special districts,Executive,Special District,,Lost,"22,222","9,085",0.409,https://sethstewardforperalta.com,,,,Nonpartisan,1,2,,1,,1,,,,,1,8,2,4,2,0,60,41,73.68,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,355,54,4,3,0,0,0,0
Marcy Masumoto,"Fresno County, California",https://ballotpedia.org/Marcy_Masumoto,County board of education,Executive,County,,Won,"31,252","19,790",0.633,https://www.masumoto4fcboe.com/,MarcyMasumoto,,,Nonpartisan,,,10,17,,,,,1,,17,30,10,2,18,0,3409,800,53.966875,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,416,355,57,4,0,0,0,0,0
Jeff Flores,"Kern County, California",https://ballotpedia.org/Jeff_Flores,Board of Supervisors,Legislative,County,District 3,Won,"37,020","19,441",0.525,https://flores4supervisor.com/,,,,Nonpartisan,6,,1,5,1,5,5,,4,,5,28,1,7,20,0,1060,556,45.21,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,359,61,4,0,0,0,0,0
Brian Smith,"Kern County, California","https://ballotpedia.org/Brian_Smith_(Kern_County_Board_of_Supervisors_candidate,_California)",Board of Supervisors,Legislative,County,District 3,Lost,"37,020","17,579",0.475,https://briansmithforsupervisor.com/,,,,Nonpartisan,9,8,1,8,4,8,,,4,,8,45,1,18,24,2,4942,1670,23.74,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,446,369,62,4,3,0,0,0,8
