Library,Location,Homepage,Catalog,Current Automation System Name,Current Automation System Year,Previous Automation System Name,Previous Automation System Year,Previous Automation System_1 Name,Previous Automation System_1 Year,Previous Automation System_2 Name,Previous Automation System_2 Year,Discovery Interface Name,Discovery Interface Year,Previous Discovery Interface Name,Previous Discovery Interface Year,Previous Automation System_3 Name,Previous Automation System_3 Year,Federated search product Name,Federated search product Year,Web Content Management Name,Web Content Management Year,Item ID Type Name,Item ID Type Year,RFID Provider Name,RFID Provider Year,Catalog Enhancement Name,Catalog Enhancement Year,Discovery Service (w/index) Name,Discovery Service (w/index) Year,Self-Check Name,Self-Check Year,RFID Tag Type Name,RFID Tag Type Year,Digital Asset Management Name,Digital Asset Management Year,OpenURL Link resolver Name,OpenURL Link resolver Year,Electronic Resource Management Name,Electronic Resource Management Year,Automated Materials Handling Name,Automated Materials Handling Year,Institutional Repository Name,Institutional Repository Year,RFID Tag Vendor Name,RFID Tag Vendor Year,Archives Management Name,Archives Management Year,Previous Discovery Index Name,Previous Discovery Index Year,Previous Link resolver Name,Previous Link resolver Year
Edmonton Public Library,"Edmonton, AB",https://www.epl.ca/,http://epl.bibliocommons.com,Symphony,2002,DRA,1993,CLSI,1979,None,,BiblioCore,2009,,,,,,,BiblioCMS,,RFID,,,,,,,,,,HF,,,,,,,,,,,,,,,,,,,
Pikes Peak Library District,"El Paso County, CO",https://ppld.org/,https://pikp.ent.sirsi.net/client/en_US/PPLD/search/results/?qu=title,Symphony,2001,Carl,1982,None,,,,,,,,,,,,,,RFID,,Bibliotheca,,NoveList Select,,,,,,HF,,,,,,,,,,,,,,,,,,,
El Paso County Digital Library,"El Paso County, TX",https://epcounty.aspendiscovery.org/,,Koha -- ByWater Solutions,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Paso Public Library,"El Paso, TX",https://www.elpasolibrary.org/,http://elpasopl.ent.sirsi.net/,Symphony,2012,Horizon,2001,INLEX/3000,1987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Free Public Library,"Elizabeth, NJ",https://www.elizpl.org/,https://lmac.ent.sirsi.net/client/en_US/elizabeth/,Symphony,2002,DRA,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escondido Public Library,"Escondido, CA",https://library.escondido.org/,https://escondido.librarycatalog.info/polaris/,Polaris,2019,Sierra,2014,Horizon,2002,Dynix,1993,,,Encore,2014,,,,,,,RFID,,mk Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forsyth County Public Library,"Forsyth County, NC",https://www.forsyth.cc/library/,https://forsyth.nccardinal.org/eg/opac/home,Evergreen -- MOBIUS,2017,Evergreen -- Equinox,2014,Symphony,2004,DRA,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poudre River Public Library District,"Fort Collins, CO",https://www.poudrelibraries.org/,http://catalog.poudrelibraries.org/,Sierra,2016,Millennium,2001,Dynix,1992,,,Encore,,,,,,,,,,RFID,,Bibliotheca,,,,,,,,HF,,CONTENTdm,,,,,,,,,,,,,,,,,
Fort Vancouver Regional Libraries,"Fort Vancouver Region, WA",https://www.fvrl.org/,http://fvrl.ent.sirsi.net/client/en_US/catalog/?,Symphony,2004,Dynix,1992,None,,,,Enterprise,2012,,,,,,,,,RFID,,,,,,,,liber8,,HF,,,,,,,,,,,,,,,,,,,
Fort Worth Public Library,"Fort Worth, TX",https://www.fortworthtexas.gov/departments/library,http://fwplhip.fortworthlibrary.org/,Polaris,2014,Horizon,2004,Dynix,1990,,,,,,,,,,,Ektron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
