names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers,location,area,competitiveness,google,google_analytics,facebook,electoral_level_3
Dean James Martilli,Massachusetts,House,Federal,Legislative,https://ballotpedia.org/Dean_James_Martilli,https://martilliforcongress.com/,MartilliforRep,,,Republican Party,Lost,"256,399","98,386",0.384,17,12,2,0,2,0,0,0,1,Massachusetts 1st,,0.116,0,0,0,Federal
Dean Tran,Massachusetts,House,Federal,Legislative,https://ballotpedia.org/Dean_Tran,https://www.deantran.com/,DeanTranMA3,,,Republican Party,Lost,"200,252","75,477",0.377,56,12,0,0,7,0,0,0,37,Massachusetts 3rd,,0.123,0,0,0,Federal
Caroline Colarusso,Massachusetts,House,Federal,Legislative,https://ballotpedia.org/Caroline_Colarusso,https://www.colarussoforcongress.com/,CarolineforMA5,,,Republican Party,Lost,"130,933","32,228",0.246,178,26,4,0,51,0,0,0,97,Massachusetts 5th,,0.254,10,4,0,Federal
Robert May Jr.,Massachusetts,House,Federal,Legislative,https://ballotpedia.org/Robert_May_Jr._(Massachusetts),https://www.may4congress.com/,may4congress,,,Republican Party,Lost,"265,449","94,184",0.355,3,0,0,0,3,0,0,0,0,Massachusetts 6th,,0.145,0,0,0,Federal
Robert Burke,Massachusetts,House,Federal,Legislative,https://ballotpedia.org/Robert_Burke_(Massachusetts),https://burke4business.com/,BurkcoEyes,,,Republican Party,Lost,"195,555","59,469",0.304,6,3,0,0,3,0,0,0,0,Massachusetts 8th,,0.196,0,0,0,Federal
Jerry Hilliard,Michigan,House,Federal,Legislative,https://ballotpedia.org/Jerry_Hilliard,https://jerryhilliard.com/,,,,Democratic Party,Lost,"242,951","82,344",0.339,15,3,4,0,0,0,0,0,8,Michigan 2nd,,0.161,0,0,0,Federal
Joseph Alfonso,Michigan,House,Federal,Legislative,https://ballotpedia.org/Joseph_Alfonso,https://www.josephalfonsoforcongress.com/,AlfonsoforMI4,,,Democratic Party,Lost,"274,226","107,928",0.394,91,17,4,0,8,0,0,0,62,Michigan 4th,,0.106,4,13,0,Federal
Lorence Wenke,Michigan,House,Federal,Legislative,https://ballotpedia.org/Lorence_Wenke,https://wenkeforcongress.com,,,Lorence4Liberty,Libertarian Party,Lost,"274,226","7,154",0.026,6,2,4,0,0,0,0,0,0,Michigan 4th,,0.474,0,0,0,Federal
Bart Goldberg,Michigan,House,Federal,Legislative,https://ballotpedia.org/Bart_Goldberg,https://www.bart4mi.com/,bartgoldbergmi5,,,Democratic Party,Lost,"247,003","85,200",0.345,6,0,0,0,1,0,0,0,5,Michigan 5th,,0.155,5,0,0,Federal
Paul Junge,Michigan,House,Federal,Legislative,https://ballotpedia.org/Paul_Junge,https://pauljunge.com/,VotePaulJunge,,Paul379Junge,Republican Party,Lost,"335,778","143,815",0.428,20,1,4,0,3,0,0,0,12,Michigan 8th,,0.072,4,8,0,Federal
Brian Steven Jaye,Michigan,House,Federal,Legislative,https://ballotpedia.org/Brian_Steven_Jaye,https://www.brianjayeformichigan.com/,JayeForMI,,,Democratic Party,Lost,"257,882","82,876",0.321,31,7,2,0,9,0,0,0,13,Michigan 9th,,0.179,0,8,0,Federal
Carl Marlinga,Michigan,House,Federal,Legislative,https://ballotpedia.org/Carl_Marlinga,https://www.marlinga4congress.com/,MarlingaForMI10,,,Democratic Party,Lost,"326,237","157,602",0.483,62,9,0,0,11,0,0,0,42,Michigan 10th,,0.017,8,6,0,Federal
Mark Ambrose,Michigan,House,Federal,Legislative,https://ballotpedia.org/Mark_Ambrose,https://voteambrose.com/,VoteMarkAmbrose,,,Republican Party,Lost,"360,631","140,267",0.389,7,3,4,0,0,0,0,0,0,Michigan 11th,,0.111,0,0,0,Federal
Steven Elliott,Michigan,House,Federal,Legislative,https://ballotpedia.org/Steven_Elliott_(Michigan),https://stevenelliottforcongress.com/,StevenElliottMI,,,Republican Party,Lost,"163,433","43,946",0.269,5,3,1,0,1,0,0,0,0,Michigan 12th,,0.231,0,0,0,Federal
Brad Finstad,Minnesota,House,Federal,Legislative,https://ballotpedia.org/Brad_Finstad,https://finstadforcongress.com,BradFinstad,,,Republican Party,Won,"296,547","159,621",0.538,22,9,3,0,2,0,0,0,8,Minnesota 1st,,0.038,4,4,0,Federal
Jeff Ettinger,Minnesota,House,Federal,Legislative,https://ballotpedia.org/Jeff_Ettinger,https://www.ettingerforcongress.com,SouthernMN4Jeff,,,Democratic Party,Lost,"296,547","125,457",0.423,3,0,0,0,3,0,0,0,0,Minnesota 1st,,0.077,0,0,0,Federal
Brian Abrahamson,Minnesota,House,Federal,Legislative,https://ballotpedia.org/Brian_Abrahamson,https://www.brianabrahamsonforcongress.com,,,,Grassroots-Legalize Cannabis Party of Minnesota,Lost,"296,547","4,943",0.017,70,19,0,0,7,0,0,0,44,Minnesota 1st,,0.483,2,0,0,Federal
Paula Overby,Minnesota,House,Federal,Legislative,https://ballotpedia.org/Paula_Overby,https://www.paulaoverby.com,Paula_overby,,,Legal Marijuana Now Party,Lost,"307,609","10,221",0.033,50,11,2,0,10,0,0,0,27,Minnesota 2nd,,0.467,0,8,0,Federal
May Lor Xiong,Minnesota,House,Federal,Legislative,https://ballotpedia.org/May_Lor_Xiong,https://may4mn.com,xiongmay,,,Republican Party,Lost,"295,973","95,493",0.323,3,0,0,0,3,0,0,0,0,Minnesota 4th,,0.177,0,0,0,Federal
Cicely Davis,Minnesota,House,Federal,Legislative,https://ballotpedia.org/Cicely_Davis,https://www.cicelydavis.com/,CicelyDavisMN,,,Republican Party,Lost,"284,888","70,689",0.248,27,3,3,0,1,4,0,0,16,Minnesota 5th,,0.252,0,0,16,Federal
Jeanne Hendricks,Minnesota,House,Federal,Legislative,https://ballotpedia.org/Jeanne_Hendricks,https://hendricks2022.com,hendricks2022,,JeanneH76486336,Democratic Party,Lost,"319,767","120,852",0.378,95,11,3,0,5,0,0,0,76,Minnesota 6th,,0.122,2,4,0,Federal
Jill Abahsain,Minnesota,House,Federal,Legislative,https://ballotpedia.org/Jill_Abahsain,https://www.jillforthehill.org,jillforcd7,,,Democratic Party,Lost,"280,777","77,494",0.276,55,14,1,0,7,0,0,0,33,Minnesota 7th,,0.224,0,0,0,Federal
Travis Johnson,Minnesota,House,Federal,Legislative,https://ballotpedia.org/Travis_Johnson_(Minnesota),https://bulljohnsonforcongress.us,TravisBullJohn1,,,Legal Marijuana Now Party,Lost,"280,777","15,066",0.054,71,14,3,0,5,8,0,0,41,Minnesota 7th,,0.446,12,4,20,Federal
Brian Flowers,Mississippi,House,Federal,Legislative,https://ballotpedia.org/Brian_Flowers,https://flowersforcongress.com,,,,Republican Party,Lost,"132,655","54,035",0.407,64,19,2,0,9,0,0,0,34,Mississippi 2nd,,0.093,4,9,0,Federal
Andrew Jones  Jr.,Missouri,House,Federal,Legislative,https://ballotpedia.org/Andrew_Jones_Jr._(Missouri),https://andrewjonesforcongress.com,AJones4Congress,,,Republican Party,Lost,"219,780","53,572",0.244,54,16,2,0,6,0,0,0,30,Missouri 1st,,0.256,0,0,0,Federal
Bill Slantz,Missouri,House,Federal,Legislative,https://ballotpedia.org/Bill_Slantz,https://billslantz.com/,,,BillSlantz,Libertarian Party,Lost,"315,160","6,486",0.021,52,14,3,0,9,0,0,0,26,Missouri 2nd,,0.479,0,1,0,Federal
Bethany Mann,Missouri,House,Federal,Legislative,https://ballotpedia.org/Bethany_Mann,https://bethanymannforcongress.com,Mann4Congress,,UnityBethany,Democratic Party,Lost,"266,130","92,899",0.349,31,16,0,0,2,0,0,0,13,Missouri 3rd,,0.151,5,6,0,Federal
Jack Truman,Missouri,House,Federal,Legislative,https://ballotpedia.org/Jack_Truman,https://truman4congress.blogspot.com/,,,thatjacktruman,Democratic Party,Lost,"246,276","62,575",0.254,9,6,0,0,1,0,0,0,2,Missouri 4th,,0.246,2,0,0,Federal
Henry Martin,Missouri,House,Federal,Legislative,https://ballotpedia.org/Henry_Martin,http://henrymartinforcongress.com/,hmforcongress,,,Democratic Party,Lost,"254,862","70,810",0.278,28,6,4,0,2,0,0,0,16,Missouri 6th,,0.222,4,0,0,Federal
Edward Anders Maidment,Missouri,House,Federal,Legislative,https://ballotpedia.org/Edward_Anders_Maidment,https://www.maidmentformissouri.com/,Anders_Maidment,,,Libertarian Party,Lost,"254,862","5,642",0.022,21,10,0,0,3,0,0,0,8,Missouri 6th,,0.478,0,0,0,Federal
Kristen Radaker-Sheafer,Missouri,House,Federal,Legislative,https://ballotpedia.org/Kristen_Radaker-Sheafer,https://www.kristenforcongress.com/,KristenRSheafer,,,Democratic Party,Lost,"200,772","51,419",0.256,54,14,1,0,5,0,0,0,34,Missouri 7th,,0.244,0,0,0,Federal
Randi McCallian,Missouri,House,Federal,Legislative,https://ballotpedia.org/Randi_McCallian,https://www.randimccallian.com/,RandiMcCallian,,,Democratic Party,Lost,"213,370","45,626",0.214,77,16,0,0,7,0,0,0,54,Missouri 8th,,0.286,0,0,0,Federal
Monica Tranel,Montana,House,Federal,Legislative,https://ballotpedia.org/Monica_Tranel,https://monicatranel.com/,MonicaTranel,,,Democratic Party,Lost,"247,960","115,265",0.465,51,14,3,0,5,4,0,0,25,Montana 1st,,0.035,4,3,16,Federal
Penny Ronning,Montana,House,Federal,Legislative,https://ballotpedia.org/Penny_Ronning,https://www.pennyronning.com/,penny4congress,,pennyronning,Democratic Party,Lost,"148,392","29,609",0.2,78,23,2,0,9,0,1,0,43,Montana 2nd,,0.3,28,0,0,Federal
Patty Pansing Brooks,Nebraska,House,Federal,Legislative,https://ballotpedia.org/Patty_Pansing_Brooks,https://pattyforcongress.com/,Patty4Nebraska,,,Democratic Party,Lost,"211,790","88,304",0.417,88,10,3,0,25,3,0,0,47,Nebraska 1st,,0.083,6,9,15,Federal
Mark Robertson,Nevada,House,Federal,Legislative,https://ballotpedia.org/Mark_Robertson_(Nevada),https://robertsonforcongress.com/,RobertsonforNV,,,Republican Party,Lost,"202,837","95,096",0.469,125,18,6,0,12,8,0,0,81,Nevada 1st,,0.031,20,22,24,Federal
April Becker,Nevada,House,Federal,Legislative,https://ballotpedia.org/April_Becker,https://voteaprilbecker.com,voteaprilbecker,,,Republican Party,Lost,"228,560","111,957",0.49,40,14,2,0,5,0,0,0,19,Nevada 3rd,,0.01,0,8,0,Federal
Karoline Leavitt,New,House,Federal,Legislative,https://ballotpedia.org/Karoline_Leavitt,https://www.karolineforcongress.com/,kleavittnh,,,Republican Party,Lost,"273,427","126,609",0.463,3,0,0,0,3,0,0,0,0,New Hampshire 1st,,0.037,0,0,0,Federal
Bob Burns,New,House,Federal,Legislative,https://ballotpedia.org/Bob_Burns_(New_Hampshire),https://www.burns4nh.com/,BurnsForNH,,,Republican Party,Lost,"268,746","116,633",0.434,119,12,0,0,11,8,0,0,88,New Hampshire 2nd,,0.066,8,17,28,Federal
Claire Gustafson,New,House,Federal,Legislative,https://ballotpedia.org/Claire_Gustafson,https://clairegustafson.com/,ClaireGForNJRep,,,Republican Party,Lost,"155,888","51,129",0.328,10,7,0,0,3,0,0,0,0,New Jersey 1st,,0.172,0,0,0,Federal
Tim Alexander,New,House,Federal,Legislative,https://ballotpedia.org/Tim_Alexander,https://www.timalexanderforcongress.com/,talexander_NJ02,,,Democratic Party,Lost,"208,119","78,628",0.378,80,22,1,0,19,6,0,0,32,New Jersey 2nd,,0.122,0,1,22,Federal
Bob Healey,New,House,Federal,Legislative,https://ballotpedia.org/Bob_Healey_(New_Jersey),https://www.bobhealeyfornj.com,BobHealey4NJ,,,Republican Party,Lost,"239,890","106,080",0.442,60,20,3,0,7,0,0,0,30,New Jersey 3rd,,0.058,12,12,0,Federal
Frank Pallotta,New,House,Federal,Legislative,https://ballotpedia.org/Frank_Pallotta,https://www.pallottaforcongress.com/,FrankPallottaNJ,,FTPallotta,Republican Party,Lost,"252,290","113,229",0.449,70,30,4,0,4,0,0,0,32,New Jersey 5th,,0.051,0,0,0,Federal
Susan Kiley,New,House,Federal,Legislative,https://ballotpedia.org/Susan_Kiley,https://suekiley.com/,SueKileyNJ6,,,Republican Party,Lost,"171,317","71,588",0.418,6,3,0,0,3,0,0,0,0,New Jersey 6th,,0.082,0,0,0,Federal
Tom Malinowski,New,House,Federal,Legislative,https://ballotpedia.org/Tom_Malinowski,https://malinowskifornj.com/,Malinowski,,,Democratic Party,Lost,"292,486","139,404",0.477,100,16,4,0,8,6,0,0,66,New Jersey 7th,,0.023,7,8,20,Federal
Billy Prempeh,New,House,Federal,Legislative,https://ballotpedia.org/Billy_Prempeh,https://www.billyprempeh.com/,BillyPrempeh,,,Republican Party,Lost,"32,002","9,123",0.285,50,11,6,0,5,0,0,0,28,New Jersey 9th,,0.215,0,0,0,Federal
Paul DeGroot,New,House,Federal,Legislative,https://ballotpedia.org/Paul_DeGroot,https://pauldegrootcares.com/,DeGrootCongress,,,Republican Party,Lost,"207,155","87,925",0.424,32,18,5,0,2,0,0,0,7,New Jersey 11th,,0.076,0,2,0,Federal
Darius Mayfield,New,House,Federal,Legislative,https://ballotpedia.org/Darius_Mayfield,https://www.dariusmayfieldforamerica.com/,Darius4America,,,Republican Party,Lost,"150,582","58,895",0.391,70,8,0,0,6,4,0,0,52,New Jersey 12th,,0.109,0,0,20,Federal
Yvette Herrell,New,House,Federal,Legislative,https://ballotpedia.org/Yvette_Herrell,https://www.yvetteherrell.com/,Yvette4congress,,,Republican Party,Lost,"192,457","95,560",0.497,55,14,0,0,7,0,0,0,34,New Mexico 2nd,,0.003,0,0,0,Federal
Jackie Gordon,New,House,Federal,Legislative,https://ballotpedia.org/Jackie_Gordon,https://jackiegordonforcongress.com/,VoteJackie4NY,,,Democratic Party,Lost,"244,113","95,183",0.39,4,2,0,0,0,0,0,0,2,New York 2nd,,0.11,0,0,0,Federal
Paul King,New,House,Federal,Legislative,https://ballotpedia.org/Paul_King_(New_York),https://paulkingforcongress.com,Paul4USCongress,,,Republican Party,Lost,"130,374","32,393",0.248,5,3,0,0,2,0,0,0,0,New York 5th,,0.252,0,0,0,Federal
Thomas Zmich,New,House,Federal,Legislative,https://ballotpedia.org/Thomas_Zmich,https://www.zmich2020.com/,Tomzmich2020,,tom_zmich,Republican Party,Lost,"125,811","46,188",0.367,3,0,0,0,3,0,0,0,0,New York 6th,,0.133,0,0,0,Federal
Juan Pagan,New,House,Federal,Legislative,https://ballotpedia.org/Juan_Pagan,https://paganforcongress.org,Pagan4Congress,,,Republican Party,Lost,"164,544","30,262",0.184,2,0,0,0,2,0,0,0,0,New York 7th,,0.316,0,0,0,Federal
Yuri Dashevsky,New,House,Federal,Legislative,https://ballotpedia.org/Yuri_Dashevsky,https://yura4us.com/,yura4us,,djueat,Republican Party,Lost,"128,954","35,486",0.275,53,13,3,0,6,0,0,0,31,New York 8th,,0.225,13,18,0,Federal
Benine Hamdan,New,House,Federal,Legislative,https://ballotpedia.org/Benine_Hamdan,https://www.beninehamdan.com/,najimbenine,,,Republican Party,Lost,"233,711","34,646",0.148,30,4,4,0,3,4,0,0,15,New York 10th,,0.352,0,0,15,Federal
Max Rose,New,House,Federal,Legislative,https://ballotpedia.org/Max_Rose,https://maxroseforcongress.com/,MaxRose4NY,,,Democratic Party,Lost,"204,995","80,093",0.391,134,10,2,0,11,4,0,0,107,New York 11th,,0.109,4,8,16,Federal
Mike Zumbluskas,New,House,Federal,Legislative,https://ballotpedia.org/Mike_Zumbluskas,https://www.electmikez.us/,MikeZumbluskas,,,Republican Party,Lost,"228,204","41,264",0.181,19,15,0,0,3,0,0,0,1,New York 12th,,0.319,1,0,0,Federal
Tina Forte,New,House,Federal,Legislative,https://ballotpedia.org/Tina_Forte,https://tinaforteforcongress.com/,TinaForteUSA,,,Republican Party,Lost,"164,933","44,240",0.268,37,7,1,0,7,2,0,0,20,New York 14th,,0.232,4,7,8,Federal
Desi Cuellar,New,House,Federal,Legislative,https://ballotpedia.org/Desi_Cuellar,https://www.desicuellar.com,desijcuellar,,,Conservative Party,Lost,"164,933","3,118",0.019,42,13,0,0,4,4,0,0,21,New York 14th,,0.481,0,0,16,Federal
Sean Maloney,New,House,Federal,Legislative,https://ballotpedia.org/Sean_Maloney,https://www.seanmaloney.com/,spmaloney,,,Democratic Party,Lost,"278,661","137,633",0.494,18,10,0,0,3,0,0,0,5,New York 17th,,0.006,0,0,0,Federal
Pat Ryan,New,House,Federal,Legislative,https://ballotpedia.org/Pat_Ryan_(New_York),https://www.patryanforcongress.com/,PatRyanUC,,,Democratic Party,Won,"260,987","131,460",0.504,53,15,0,0,12,0,0,0,26,New York 18th,,0.004,5,4,0,Federal
Josh Riley,New,House,Federal,Legislative,https://ballotpedia.org/Josh_Riley,https://joshrileyforcongress.com/,joshuaue99,,,Democratic Party,Lost,"279,812","136,789",0.489,50,4,0,0,8,4,0,0,34,New York 19th,,0.011,10,4,17,Federal
Francis Conole,New,House,Federal,Legislative,https://ballotpedia.org/Francis_Conole,https://conoleforcongress.com/,FDConole,,,Democratic Party,Lost,"261,751","128,837",0.492,7,6,0,0,1,0,0,0,0,New York 22nd,,0.008,0,0,0,Federal
Steven Holden,New,House,Federal,Legislative,https://ballotpedia.org/Steven_Holden,https://www.nystevenholden.com,believein_steve,,,Democratic Party,Lost,"269,768","91,703",0.34,3,0,0,0,3,0,0,0,0,New York 24th,,0.16,0,0,0,Federal
La'Ron Singletary,New,House,Federal,Legislative,https://ballotpedia.org/La'Ron_Singletary,https://singletary4congress.com/,LaRon4Congress,,LaRonSingletary,Republican Party,Lost,"277,308","128,502",0.463,44,16,2,0,9,0,0,0,17,New York 25th,,0.037,0,0,0,Federal
Steven Sams,New,House,Federal,Legislative,https://ballotpedia.org/Steven_Sams,https://www.samsforthepeople.com/,StevenLSamsII,,,Republican Party,Lost,"239,951","86,822",0.362,1,0,0,0,1,0,0,0,0,New York 26th,,0.138,0,0,0,Federal
Sandy Smith,North,House,Federal,Legislative,https://ballotpedia.org/Sandy_Smith_(North_Carolina),https://sandysmithnc.com/,SandySmithNC,,,Republican Party,Lost,"255,857","122,128",0.477,48,11,4,0,5,0,0,0,28,North Carolina 1st,,0.023,9,16,0,Federal
Christine Villaverde,North,House,Federal,Legislative,https://ballotpedia.org/Christine_Villaverde,https://votevillaverde.com/,Villaverde4NC,,,Republican Party,Lost,"289,143","102,840",0.356,55,6,4,0,5,4,0,0,36,North Carolina 2nd,,0.144,8,12,16,Federal
Barbara Gaskins,North,House,Federal,Legislative,https://ballotpedia.org/Barbara_Gaskins,https://www.barbara4congress.com/,barbara4NC,,,Democratic Party,Lost,"247,193","81,503",0.33,14,2,1,0,2,0,0,0,9,North Carolina 3rd,,0.17,2,5,0,Federal
Kyle Parrish,North,House,Federal,Legislative,https://ballotpedia.org/Kyle_Parrish,https://kyleparrishforcongress.com,KP4NC,,,Democratic Party,Lost,"274,482","100,388",0.366,10,4,0,0,5,0,0,0,1,North Carolina 5th,,0.134,1,0,0,Federal
Christian Castelli,North,House,Federal,Legislative,https://ballotpedia.org/Christian_Castelli,https://www.castellifornc.com/,Castelli4NC,,,Republican Party,Lost,"256,950","116,076",0.452,43,16,0,0,10,0,0,0,17,North Carolina 6th,,0.048,4,5,0,Federal
Charles Graham,North,House,Federal,Legislative,https://ballotpedia.org/Charles_Graham_(North_Carolina),https://votecharlesgraham.com/,,,,Democratic Party,Lost,"276,431","116,549",0.422,1,0,0,0,1,0,0,0,0,North Carolina 7th,,0.078,0,0,0,Federal
Scott Huffman,North,House,Federal,Legislative,https://ballotpedia.org/Scott_Huffman,https://www.scotthuffman.com/,HuffmanForNC,,,Democratic Party,Lost,"260,510","77,868",0.299,85,14,2,0,11,4,0,0,54,North Carolina 8th,,0.201,4,4,16,Federal
Ben Clark,North,House,Federal,Legislative,https://ballotpedia.org/Ben_Clark,https://www.benclarknc.com,BenClarkNC,,,Democratic Party,Lost,"230,610","99,848",0.433,30,7,4,0,3,0,0,0,16,North Carolina 9th,,0.067,4,12,0,Federal
Pamela Genant,North,House,Federal,Legislative,https://ballotpedia.org/Pam_Genant,https://www.pamgenant.com/,PamGenant,,,Democratic Party,Lost,"268,207","73,174",0.273,31,5,0,0,6,3,0,0,17,North Carolina 10th,,0.227,0,0,10,Federal
Bo Hines,North,House,Federal,Legislative,https://ballotpedia.org/Bo_Hines,https://bo4nc.com,BoHines,,,Republican Party,Lost,"273,822","133,291",0.487,62,9,2,0,5,6,0,0,40,North Carolina 13th,,0.013,14,8,18,Federal
Pat Harrigan,North,House,Federal,Legislative,https://ballotpedia.org/Pat_Harrigan,https://www.harriganforcongress.com,PatHarriganNC,,,Republican Party,Lost,"254,363","108,170",0.425,64,19,8,1,13,0,1,0,22,North Carolina 14th,,0.075,4,5,0,Federal
Cara Mund,North,House,Federal,Legislative,https://ballotpedia.org/Cara_Mund,http://caramund.com/,caramund,,,Independent,Lost,"237,923","89,379",0.376,39,26,0,0,0,0,0,0,13,North Dakota 1st,,0.124,0,0,0,Federal
Samantha Meadows,Ohio,House,Federal,Legislative,https://ballotpedia.org/Samantha_Meadows,https://www.samanthameadowsforcongress.com/,SMeadows4OH2,,,Democratic Party,Lost,"252,618","64,329",0.255,20,8,0,0,4,0,0,0,8,Ohio 2nd,,0.245,0,0,0,Federal
Lee Stahley,Ohio,House,Federal,Legislative,https://ballotpedia.org/Lee_Stahley,https://www.stahleyforcongress.com,LeeStahley,,,Republican Party,Lost,"258,797","76,455",0.295,95,15,4,0,6,4,1,0,65,Ohio 3rd,,0.205,0,0,20,Federal
Tamie Wilson,Ohio,House,Federal,Legislative,https://ballotpedia.org/Tamie_Wilson,https://www.tamiewilson.com/,Tamie_Wilson_,,,Democratic Party,Lost,"284,042","87,144",0.307,38,7,4,0,5,0,0,0,22,Ohio 4th,,0.193,8,14,0,Federal
David Esrati,Ohio,House,Federal,Legislative,https://ballotpedia.org/David_Esrati,https://electesrati.com,Esrati,,,Democratic Party,Lost,"260,175","98,383",0.378,72,13,2,0,9,0,0,0,48,Ohio 10th,,0.122,2,4,0,Federal
Madison Gesiotto Gilbert,Ohio,House,Federal,Legislative,https://ballotpedia.org/Madison_Gesiotto_Gilbert,https://www.madisongesiotto.com/,,,madisongesiotto,Republican Party,Lost,"277,530","131,704",0.475,87,19,2,0,10,4,0,0,52,Ohio 13th,,0.025,13,10,16,Federal
Gary Josephson,Ohio,House,Federal,Legislative,https://ballotpedia.org/Gary_Josephson,https://josephson4rep.org,josephson4rep,,,Democratic Party,Lost,"230,684","90,672",0.393,18,14,1,0,1,0,0,0,2,Ohio 15th,,0.107,0,0,0,Federal
Adam Martin,Oklahoma,House,Federal,Legislative,https://ballotpedia.org/Adam_Martin_(Oklahoma),https://www.martinforcongress.com/,AdamMartin4OK,,,Democratic Party,Lost,"233,148","80,835",0.347,48,8,0,0,5,0,0,0,35,Oklahoma 1st,,0.153,0,0,0,Federal
Naomi Andrews,Oklahoma,House,Federal,Legislative,https://ballotpedia.org/Naomi_Andrews_(Oklahoma),https://www.naomiforok.com,NaomiForOK,,,Democratic Party,Lost,"231,459","54,149",0.234,119,24,1,0,9,4,0,0,81,Oklahoma 2nd,,0.266,0,0,20,Federal
Mary Brannon,Oklahoma,House,Federal,Legislative,https://ballotpedia.org/Mary_Brannon,https://www.electbrannon.com,electbrannon,,,Democratic Party,Lost,"224,375","74,598",0.332,43,10,0,0,5,0,0,0,28,Oklahoma 4th,,0.168,0,0,0,Federal
Joshua Harris-Till,Oklahoma,House,Federal,Legislative,https://ballotpedia.org/Joshua_Harris-Till,https://www.jhtforcongress.com,JHTforCongress,,JHarrisTill,Democratic Party,Lost,"258,594","96,709",0.374,94,20,0,0,9,0,0,0,65,Oklahoma 5th,,0.126,4,3,0,Federal
David Frosch,Oklahoma,House,Federal,Legislative,https://ballotpedia.org/David_Frosch,https://davidfrosch.com/,FroschForOK,,,Independent,Lost,"258,594","9,318",0.036,21,9,7,0,1,0,0,0,4,Oklahoma 5th,,0.464,0,0,0,Federal
Joanna Harbour,Oregon,House,Federal,Legislative,https://ballotpedia.org/Joanna_Harbour,https://joanna4oregon.com/,joanna4oregon,,,Republican Party,Lost,"180,690","49,022",0.271,12,2,0,0,2,0,0,0,8,Oregon 3rd,,0.229,0,0,0,Federal
Alek Skarlatos,Oregon,House,Federal,Legislative,https://ballotpedia.org/Alek_Skarlatos,https://www.alekfororegon.com/,alekskarlatos,,,Republican Party,Lost,"322,520","138,544",0.43,101,13,6,0,16,4,0,0,62,Oregon 4th,,0.07,4,8,16,Federal
Levi Leatherberry,Oregon,House,Federal,Legislative,https://ballotpedia.org/Levi_Leatherberry,https://www.levileatherberry.com,,,,Libertarian Party,Lost,"322,520","8,358",0.026,17,5,4,0,0,0,0,0,8,Oregon 4th,,0.474,0,0,0,Federal
Jamie McLeod-Skinner,Oregon,House,Federal,Legislative,https://ballotpedia.org/Jamie_McLeod-Skinner,https://jamiefororegon.com,jamiefororegon,,,Democratic Party,Lost,"316,361","154,581",0.489,139,7,2,0,45,3,0,0,82,Oregon 5th,,0.011,12,9,12,Federal
Mike Erickson,Oregon,House,Federal,Legislative,https://ballotpedia.org/Mike_Erickson_(Oregon),https://mikeericksonforcongress.org/,,,,Republican Party,Lost,"294,377","139,946",0.475,65,25,4,0,7,0,0,0,29,Oregon 6th,,0.025,12,12,0,Federal
Ashley Ehasz,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Ashley_Ehasz,https://www.ehaszforcongress.com/,ashley_ehasz,,,Democratic Party,Lost,"347,951","153,210",0.44,53,20,2,0,10,0,0,0,21,Pennsylvania 1st,,0.06,4,0,0,Federal
Aaron Bashir,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Aaron_Bashir,https://bashirforcongress.com/,aaron_bashir,,,Republican Party,Lost,"113,192","31,451",0.278,40,9,3,0,2,0,0,0,26,Pennsylvania 2nd,,0.222,0,0,0,Federal
Guy Ciarrocchi,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Guy_Ciarrocchi,https://ourguyforcongress.com/,guyciarrocchi,,,Republican Party,Lost,"300,011","131,145",0.437,140,7,0,0,27,12,0,0,94,Pennsylvania 6th,,0.063,10,13,24,Federal
Lisa Scheller,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Lisa_Scheller,https://lisaschellerpa.com/,SchellerforPA,,,Republican Party,Lost,"294,463","144,875",0.492,68,11,2,0,8,4,0,0,43,Pennsylvania 7th,,0.008,4,12,16,Federal
Jim Bognet,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Jim_Bognet,https://www.bognetforcongress.com/,Bognet4congress,,jimbognet,Republican Party,Lost,"282,492","137,945",0.488,2,0,0,0,2,0,0,0,0,Pennsylvania 8th,,0.012,0,0,0,Federal
Amanda Waldman,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Amanda_Waldman,https://waldman4pa.com/,Waldman4PA,,Manders_insight,Democratic Party,Lost,"296,361","90,015",0.304,15,9,4,0,2,0,0,0,0,Pennsylvania 9th,,0.196,0,0,0,Federal
Shamaine Daniels,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Shamaine_Daniels,https://danielsforcongress.org/,,,ShamaineDaniels,Democratic Party,Lost,"311,287","143,124",0.46,54,12,5,0,6,0,0,0,31,Pennsylvania 10th,,0.04,4,12,0,Federal
Bob Hollister,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Bob_Hollister,https://www.hollisterforcongress.com/,Hollister4PA,,,Democratic Party,Lost,"303,444","112,911",0.372,1,0,0,0,1,0,0,0,0,Pennsylvania 11th,,0.128,0,0,0,Federal
